,fips,y
274,6085,30637.985166542836
275,6067,63123.41307728546
276,6111,48487.9687720809
277,6021,35094.23803276716
278,6047,84410.92915101784
279,6083,42534.65584738664
280,6065,58945.155084068865
281,6029,73460.79653139116
282,6115,63239.746815734085
283,6007,44205.87545177074
284,6061,62866.43076801685
285,6025,54679.93640905668
286,6087,28480.08689721419
287,6069,41736.57253841658
288,6079,44231.62972418413
289,6097,36175.03714144255
290,6071,55453.67914904521
291,6035,95761.89354686764
292,6017,84777.48184552904
293,6053,37922.06697714535
294,6107,60827.35665956754
295,6031,77837.13155077888
296,6013,29071.08690558238
297,6103,93096.06479113385
298,6075,6633.320973799373
299,6039,47813.51041197772
300,6093,90676.54762665303
301,6057,29548.122103454374
302,6099,70443.59899495606
303,6101,62536.95254228027
304,6073,40292.399355004796
305,6037,42873.631702902996
306,6019,69924.52368258015
307,6055,49613.62979797579
308,6109,47154.77723255252
309,6033,12755.044264645638
310,6015,44111.79861441642
311,6051,40350.498835055856
312,6077,57147.91892169112
313,6095,53367.09693099567
314,6059,47125.40472346457
315,6089,95535.98570158711
316,6001,22083.780471061076
317,6081,19757.75396827307
318,6113,56392.35551327827
319,6041,39440.30313620655
320,6005,55247.017981128716
321,6023,34886.95765711904
322,6085,30460.604465024448
323,6067,62724.41809865995
324,6111,48655.99712426364
325,6021,35073.98013735643
326,6047,84118.09620995547
327,6083,42462.486183181216
328,6065,58974.56136282035
329,6029,73034.46620927047
330,6115,62786.5603452039
331,6007,45196.724200264616
332,6061,62420.310603160106
333,6025,55127.54722121975
334,6087,28311.168905256698
335,6069,42475.95150280744
336,6079,44697.13449838096
337,6097,36345.16185476293
338,6071,56390.721953137654
339,6035,95978.5680640603
340,6017,85129.11513025286
341,6053,38169.051649905654
342,6107,61671.51972565976
343,6031,77606.97777283711
344,6013,29234.792515345678
345,6103,94385.79248366013
346,6075,6570.173693038065
347,6039,47781.929405719726
348,6093,91021.4778828944
349,6057,29670.925852222474
350,6099,70867.32970395654
351,6101,62759.89727056638
352,6073,41280.942893084655
353,6037,43583.13159361712
354,6019,70240.80915288859
355,6055,49536.733138750715
356,6109,47094.68303590834
357,6033,12687.944583301389
358,6015,44012.89708758391
359,6051,39696.9950415198
360,6077,56811.03290913729
361,6095,53739.49366989491
362,6059,47889.64926100348
363,6089,91958.61567048836
364,6001,22219.16258149743
365,6081,19765.68779510891
366,6113,56840.140819801076
367,6041,39839.90786119517
368,6005,54991.54352857397
369,6023,34661.70667757272
370,6085,30698.899999620982
371,6067,62872.077435674204
372,6111,50153.66262747115
373,6021,35298.80032513455
374,6047,84429.18858028472
375,6083,43438.30183581876
376,6065,60047.90777433262
377,6029,73325.64648252736
378,6115,62917.92611474831
379,6007,46010.715968286386
380,6061,62538.00508747597
381,6025,55515.10730333537
382,6087,28349.05550139531
383,6069,42362.50592803841
384,6079,45026.468262688
385,6097,36801.13089916559
386,6071,56451.42367637547
387,6035,96387.18794159208
388,6017,85155.23147178396
389,6053,38390.44795009492
390,6107,61865.08985986895
391,6031,74824.92311389411
392,6013,29310.59522698841
393,6103,94660.60699062234
394,6075,6474.2896041496915
395,6039,47966.49036268391
396,6093,91350.17588743204
397,6057,29778.9196295454
398,6099,70900.50476936999
399,6101,62897.475478812055
400,6073,41477.58209997157
401,6037,43773.62934524493
402,6019,70417.88294912147
403,6055,49145.86958267239
404,6109,47239.296812518114
405,6033,12623.453610508863
406,6015,44905.17195837075
407,6051,38892.28747236991
408,6077,56416.751833325856
409,6095,54026.62472090508
410,6059,47770.72080814564
411,6089,91228.28445131367
412,6001,22207.32825293554
413,6081,19692.56129431811
414,6113,57077.23504505841
415,6041,40006.22916800933
416,6005,54969.289656400215
417,6023,34480.553576796614
418,6085,30728.327930695516
419,6067,63018.75717959587
420,6111,50523.79181961357
421,6021,35396.36753543596
422,6047,84718.77753160037
423,6083,43702.39235725048
424,6065,60151.398954048665
425,6029,73371.1520196276
426,6115,62520.660597395974
427,6007,46605.416785432826
428,6061,62860.63292184987
429,6025,55903.03015731033
430,6087,28306.955144610358
431,6069,42215.51155378099
432,6079,44647.29744617959
433,6097,36772.19545567304
434,6071,55956.590800381375
435,6035,97309.39668189848
436,6017,84268.01531256769
437,6053,38267.365742643975
438,6107,61417.1193485693
439,6031,74759.7611988068
440,6013,29094.668146081844
441,6103,93968.29674623473
442,6075,6365.227188508898
443,6039,47924.318018898666
444,6093,91557.66030974018
445,6057,29674.689403128395
446,6099,70309.92336596288
447,6101,62405.41242042567
448,6073,41105.47129523064
449,6037,43593.58291497254
450,6019,69953.086238237
451,6055,48520.65833420543
452,6109,47161.299362503625
453,6033,12722.852626756261
